고객명,주문일자,마감기한,제품명,수량,전화번호,이메일
강부자,20211220,20220130,6FD-904,10000,010-5555-6666,rich@rich.com
유민상,20211220,20220130,6KOS-FD2,2000,010-4444-1111,yoo@min.com
김준현,20211220,20220125,P 210T,50000,010-8888-4444,kim@food.com
박영희,20211221,20220125,6KOS-FDCJ,250000,010-9999-4444,yhpark@fabric.com
이부자,20211221,20220125,6KOS-FD2,1200,010-3333-2222,richlee@lee.com
박영희,20211221,20220125,6FD-904,60000,010-9999-4444,yhpark@fabric.com
이부자,20211221,20220125,N/T 210T,1200,010-3333-2222,richlee@lee.com
최술관,20211221,20220125,N MGB,52030,010-1111-1111,choi@museum.com
김러닝,20211221,20220125,N/T 210T,60000,010-8855-1111,choi@museum.com
장장국,20211221,20220125,6FD-904,78000,010-1111-9999,soup@soup.com
